2025-02-15 13:34:57 | house_price | INFO | Initialized model with path: artifacts\model\model.pkl
2025-02-15 13:34:57 | house_price | INFO | Initialized scaler with path: artifacts\model\scaler.pkl
2025-02-15 13:34:57 | house_price | ERROR | failed to load model: [Errno 2] No such file or directory: 'artifacts\\model\\model.pkl'
2025-02-15 13:36:46 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 13:36:46 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 13:36:49 | house_price | INFO | model load succesfully
2025-02-15 13:36:49 | house_price | INFO | Load scaller succes
2025-02-15 13:36:49 | house_price | ERROR | failed to load data: 'dict' object has no attribute 'dict'
2025-02-15 13:38:07 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 13:38:07 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 13:38:08 | house_price | INFO | model load succesfully
2025-02-15 13:38:08 | house_price | INFO | Load scaller succes
2025-02-15 13:38:12 | house_price | ERROR | failed to get satellite image
2025-02-15 13:38:12 | house_price | INFO | Failed Extract Feature: Attempt to create new tiff file `D:\ML5\final_projectt\artifacts\data_prediction\image_1739601488448.tiff' failed: No such file or directory
2025-02-15 13:39:04 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 13:39:04 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 13:39:05 | house_price | INFO | model load succesfully
2025-02-15 13:39:05 | house_price | INFO | Load scaller succes
2025-02-15 13:39:07 | house_price | ERROR | failed to get satellite image
2025-02-15 13:39:07 | house_price | INFO | Failed Extract Feature: Attempt to create new tiff file `D:\ML5\final_projectt\artifacts\data_prediction\image_1739601545542.tiff' failed: No such file or directory
2025-02-15 13:42:56 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 13:42:56 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 13:42:57 | house_price | INFO | model load succesfully
2025-02-15 13:42:57 | house_price | INFO | Load scaller succes
2025-02-15 13:43:02 | house_price | ERROR | failed to get satellite image
2025-02-15 13:43:02 | house_price | INFO | Failed Extract Feature: Attempt to create new tiff file `D:\ML5\final_projectt\artifacts\data_prediction\image_1739601777600.tiff' failed: No such file or directory
2025-02-15 13:47:12 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 13:47:12 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 13:47:13 | house_price | INFO | model load succesfully
2025-02-15 13:47:13 | house_price | INFO | Load scaller succes
2025-02-15 13:47:18 | house_price | ERROR | failed to get satellite image
2025-02-15 13:47:18 | house_price | INFO | Failed Extract Feature: Attempt to create new tiff file `D:\ML5\final_projectt\artifacts\data_prediction\image_1739602033064.tiff' failed: No such file or directory
2025-02-15 13:49:13 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 13:49:13 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 13:49:14 | house_price | INFO | model load succesfully
2025-02-15 13:49:14 | house_price | INFO | Load scaller succes
2025-02-15 13:49:17 | house_price | ERROR | failed to get satellite image
2025-02-15 13:49:17 | house_price | INFO | Failed Extract Feature: Attempt to create new tiff file `D:\ML5\final_projectt\artifacts\data_prediction\image_1739602154664.tiff' failed: No such file or directory
2025-02-15 13:50:18 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 13:50:18 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 13:50:19 | house_price | INFO | model load succesfully
2025-02-15 13:50:19 | house_price | INFO | Load scaller succes
2025-02-15 13:50:22 | house_price | ERROR | failed to get satellite image
2025-02-15 13:50:22 | house_price | INFO | Failed Extract Feature: Attempt to create new tiff file `D:\ML5\CNN_House-Price-Prediction\src\artifacts\data_prediction\image_1739602219080.tiff' failed: No such file or directory
2025-02-15 13:50:56 | house_price | INFO | Initialized model with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\model.pkl
2025-02-15 13:50:56 | house_price | INFO | Initialized scaler with path: D:\ML5\CNN_House-Price-Prediction\artifacts\model\scaler.pkl
2025-02-15 13:50:56 | house_price | INFO | model load succesfully
2025-02-15 13:50:56 | house_price | INFO | Load scaller succes
