,Unnamed: 0,id,bedroom,bathroom,building_area,land_area,price,latitude,longitude,log_price
0,1,744059,2,1,50,60,850000000,-7.31986379999999,112.8071449,20.560746908625106
1,2,21285,2,2,50,60,500000000,-7.2574719,112.7520883,20.030118658386463
2,3,513555,2,2,50,74,1300000000,-7.2739158,112.6596183,20.985630102183134
3,5,204915,2,1,50,85,665000000,-7.26930929999999,112.7167191,20.315297600123888
4,6,238036,2,1,50,60,775000000,-7.3342386,112.7998421,20.468373588607943
5,7,115111,2,2,50,106,1142000000,-7.3067283,112.8093932,20.856046949055887
6,8,723589,2,2,50,60,500000000,-7.2412592,112.7377395,20.030118658386463
7,9,982951,2,2,50,55,890000000,-7.3029175,112.6293533,20.606732021814054
8,10,427826,2,1,50,100,650000000,-7.33616899999999,112.8135304,20.292482922392416
9,12,113630,3,2,50,72,800000000,-7.24077949999999,112.6168852,20.5001222868822
10,14,814072,2,1,50,85,665000000,-7.278219,112.7558887,20.315297600123888
11,16,497853,3,2,50,72,500000030,-7.3380871,112.7837649,20.030118718386465
12,18,88827,2,2,50,74,990000000,-7.27377329999999,112.6522051,20.71321550210301
13,22,724423,2,1,50,44,790000000,-7.3397444,112.8018631,20.487543504691164
14,23,528171,2,1,50,60,775000000,-7.3310442,112.7777064,20.468373588607943
15,24,642690,3,1,50,72,525000000,-7.2213487,112.6085192,20.078908822460658
16,27,306855,4,1,50,45,855000000,-7.3118382,112.7988106,20.566612028070626
17,28,83813,1,2,50,74,990000000,-7.2712615,112.6592375,20.71321550210301
18,29,111897,2,2,50,32,500000000,-7.3221929,112.7985936,20.030118658386463
19,30,772011,2,1,50,65,675000000,-7.3317091,112.8050761,20.330223250318284
20,32,89976,1,2,50,74,1120000000,-7.2742866,112.6535713,20.83659452314627
21,36,827512,2,1,50,102,1100000000,-7.3309516,112.6921501,20.818576017659826
22,37,69419,2,1,50,81,690000000,-7.32609709999999,112.8135304,20.352202157004854
23,38,666020,3,2,50,120,2600000000,-7.28295129999999,112.6762566,21.678777282358464
24,41,418819,2,1,50,95,750000000,-7.2541395,112.7703313,20.435583765827964
25,45,986478,2,2,50,62,1000000000,-7.2666095,112.7681843,20.72326583794641
26,48,154424,2,1,50,284,5500000000,-7.2937645,112.7623327,22.428013929366653
27,49,435942,3,2,50,50,675000000,-7.33916339999999,112.8045928,20.330223250318284
28,51,785517,2,1,50,61,770750000,-7.3393651,112.803328,20.462874626027972
